End Date,company_name,linkedin_influenced_impressions_sends_threshold_10,linkedin_influenced_click_opens_threshold_3,account_reached,ctr_score,spm_open_rate_score,frequency_score,frequency,total_impressions,total_sends,total_clicks,total_opens,ctr,spm_open_rate,total_conversions,total_engagements,total_leads,unique_employees_reached,rank_imps
6/6/2026,Adobe,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.01E+00,5109,Below Reporting Threshold,78,Below Reporting Threshold,1.53E-02,Below Reporting Threshold,0,101,0,1274,1
6/6/2026,Citi,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.81E+00,5023,Below Reporting Threshold,58,Below Reporting Threshold,1.15E-02,Below Reporting Threshold,0,82,0,1789,2
6/6/2026,VML,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.34E+00,3680,Below Reporting Threshold,52,Below Reporting Threshold,1.41E-02,Below Reporting Threshold,0,70,0,847,3
6/6/2026,Scotiabank,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.28E+00,3555,Below Reporting Threshold,32,Below Reporting Threshold,9.00E-03,Below Reporting Threshold,0,39,0,1557,4
6/6/2026,Wells Fargo,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.74E+00,3526,Below Reporting Threshold,19,Below Reporting Threshold,5.39E-03,Below Reporting Threshold,0,23,0,1287,5
6/6/2026,Bank of America,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.98E+00,3483,Below Reporting Threshold,14,Below Reporting Threshold,4.02E-03,Below Reporting Threshold,0,20,0,1169,6
6/6/2026,Procter & Gamble,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.37E+00,3358,Below Reporting Threshold,55,Below Reporting Threshold,1.64E-02,Below Reporting Threshold,0,65,0,996,7
6/6/2026,United States Air Force,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.64E+00,2965,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,2,0,815,8
6/6/2026,ADP,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.37E+00,2907,Below Reporting Threshold,48,Below Reporting Threshold,1.65E-02,Below Reporting Threshold,0,61,0,1227,9
6/6/2026,Capital One,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.84E+00,2808,Below Reporting Threshold,40,Below Reporting Threshold,1.42E-02,Below Reporting Threshold,0,46,0,987,10
6/6/2026,SAP,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.10E+00,2749,Below Reporting Threshold,30,Below Reporting Threshold,1.09E-02,Below Reporting Threshold,0,36,0,888,11
6/6/2026,Comcast,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.90E+00,2473,Below Reporting Threshold,29,Below Reporting Threshold,1.17E-02,Below Reporting Threshold,0,39,0,853,12
6/6/2026,iHeartMedia,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.72E+00,2218,Below Reporting Threshold,14,Below Reporting Threshold,6.31E-03,Below Reporting Threshold,0,15,0,596,13
6/6/2026,CIBC,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.98E+00,2159,Below Reporting Threshold,57,Below Reporting Threshold,2.64E-02,Below Reporting Threshold,0,75,0,542,14
6/6/2026,General Motors,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.96E+00,2055,Below Reporting Threshold,25,Below Reporting Threshold,1.22E-02,Below Reporting Threshold,0,28,0,694,15
6/6/2026,Encore,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.52E+00,1959,Below Reporting Threshold,12,Below Reporting Threshold,6.13E-03,Below Reporting Threshold,0,16,0,557,16
6/6/2026,U.S. Bank,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.75E+00,1809,Below Reporting Threshold,16,Below Reporting Threshold,8.84E-03,Below Reporting Threshold,0,23,0,659,17
6/6/2026,IKEA,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.16E+00,1639,Below Reporting Threshold,16,Below Reporting Threshold,9.76E-03,Below Reporting Threshold,0,18,0,518,18
6/6/2026,SLB,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.47E+00,1612,Below Reporting Threshold,16,Below Reporting Threshold,9.93E-03,Below Reporting Threshold,0,22,0,464,19
6/6/2026,BNY,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.10E+00,1608,Below Reporting Threshold,21,Below Reporting Threshold,1.31E-02,Below Reporting Threshold,0,25,0,518,20
